name,long,lat
Chilomo,35.03952733507214,-15.77967040294699
Namacha,35.0390956028395,-15.78195240963419
Kajombo,35.04821154924529,-15.7760986196337
Makolija,35.03917470298631,-15.77702301894125
Kaphinde,35.03973502046838,-15.77620137986269
