date_time,location,indicator,value,unit
2021-04-07T12:52:21Z,top,pm10,21.35,uq_m3
2021-04-07T12:58:02Z,top,pm2.5,4.9,uq_m3
2021-04-07T12:58:02Z,top,pm10,31.7,uq_m3
2021-04-07T13:03:42Z,top,pm2.5,4.25,uq_m3
2021-04-07T13:03:42Z,top,pm10,27.95,uq_m3
2021-04-07T13:09:22Z,top,pm2.5,3.8,uq_m3
2021-04-07T13:09:22Z,top,pm10,34.8,uq_m3
2021-04-07T13:15:02Z,top,pm2.5,3.7,uq_m3
2021-04-07T13:15:02Z,top,pm10,23.2,uq_m3
2021-04-07T13:20:42Z,top,pm2.5,3.6,uq_m3
2021-04-07T13:20:42Z,top,pm10,15,uq_m3
2021-04-07T13:26:22Z,top,pm2.5,3.1,uq_m3
2021-04-07T13:26:22Z,top,pm10,14,uq_m3
2021-04-07T13:32:03Z,top,pm2.5,3.25,uq_m3
2021-04-07T13:32:03Z,top,pm10,13.05,uq_m3
2021-04-07T13:37:43Z,top,pm2.5,3.8,uq_m3
2021-04-07T13:37:43Z,top,pm10,21.95,uq_m3
2021-04-07T13:43:23Z,top,pm2.5,3.4,uq_m3
2021-04-07T13:43:23Z,top,pm10,16.85,uq_m3
2021-04-07T13:49:03Z,top,pm2.5,3.3,uq_m3
2021-04-07T13:49:03Z,top,pm10,11.45,uq_m3
2021-04-07T13:54:43Z,top,pm2.5,3.55,uq_m3
2021-04-07T13:54:43Z,top,pm10,12.2,uq_m3
2021-04-07T14:00:23Z,top,pm2.5,3.9,uq_m3
2021-04-07T14:00:23Z,top,pm10,13.05,uq_m3
2021-04-07T14:06:04Z,top,pm2.5,3.1,uq_m3
2021-04-07T14:06:04Z,top,pm10,11.9,uq_m3
2021-04-07T14:11:44Z,top,pm2.5,2.8,uq_m3
2021-04-07T14:11:44Z,top,pm10,17.7,uq_m3
2021-04-07T14:17:24Z,top,pm2.5,3.25,uq_m3
2021-04-07T14:17:24Z,top,pm10,26.25,uq_m3
2021-04-07T14:23:04Z,top,pm2.5,3.2,uq_m3
2021-04-07T14:23:04Z,top,pm10,23.4,uq_m3
2021-04-07T14:28:44Z,top,pm2.5,2.2,uq_m3
2021-04-07T14:28:44Z,top,pm10,12.1,uq_m3
2021-04-07T14:34:25Z,top,pm2.5,2,uq_m3
2021-04-07T14:34:25Z,top,pm10,16.5,uq_m3
2021-04-07T14:40:05Z,top,pm2.5,2.8,uq_m3
2021-04-07T14:40:05Z,top,pm10,13.8,uq_m3
2021-04-07T14:45:45Z,top,pm2.5,2.6,uq_m3
2021-04-07T14:45:45Z,top,pm10,14.25,uq_m3
2021-04-07T14:51:25Z,top,pm2.5,2.4,uq_m3
2021-04-07T14:51:25Z,top,pm10,15.65,uq_m3
2021-04-07T14:57:05Z,top,pm2.5,2.65,uq_m3
2021-04-07T14:57:05Z,top,pm10,16.95,uq_m3
2021-04-07T15:02:46Z,top,pm2.5,2.2,uq_m3
2021-04-07T15:02:46Z,top,pm10,12.95,uq_m3
2021-04-07T15:08:26Z,top,pm2.5,2.15,uq_m3
2021-04-07T15:08:26Z,top,pm10,17.9,uq_m3
2021-04-07T15:14:06Z,top,pm2.5,2,uq_m3
2021-04-07T15:14:06Z,top,pm10,7.6,uq_m3
2021-04-07T15:19:46Z,top,pm2.5,2.1,uq_m3
2021-04-07T15:19:46Z,top,pm10,9.5,uq_m3
2021-04-07T15:25:26Z,top,pm2.5,2.05,uq_m3
2021-04-07T15:25:26Z,top,pm10,9.2,uq_m3
2021-04-07T15:31:06Z,top,pm2.5,2.4,uq_m3
2021-04-07T15:31:06Z,top,pm10,10,uq_m3
2021-04-07T15:36:47Z,top,pm2.5,2.7,uq_m3
2021-04-07T15:36:47Z,top,pm10,13,uq_m3
2021-04-07T15:42:27Z,top,pm2.5,2.5,uq_m3
2021-04-07T15:42:27Z,top,pm10,15.8,uq_m3
2021-04-07T15:48:07Z,top,pm2.5,2,uq_m3
2021-04-07T15:48:07Z,top,pm10,10.55,uq_m3
2021-04-07T15:53:47Z,top,pm2.5,2.55,uq_m3
2021-04-07T15:53:47Z,top,pm10,13.1,uq_m3
2021-04-07T15:59:27Z,top,pm2.5,2.8,uq_m3
2021-04-07T15:59:27Z,top,pm10,9.1,uq_m3
2021-04-07T16:05:08Z,top,pm2.5,4.45,uq_m3
2021-04-07T16:05:08Z,top,pm10,16.8,uq_m3
2021-04-07T16:10:48Z,top,pm2.5,5.1,uq_m3
2021-04-07T16:10:48Z,top,pm10,18.4,uq_m3
2021-04-07T16:16:28Z,top,pm2.5,5.6,uq_m3
2021-04-07T16:16:28Z,top,pm10,19.6,uq_m3
2021-04-07T16:22:08Z,top,pm2.5,4.95,uq_m3
2021-04-07T16:22:08Z,top,pm10,17.3,uq_m3
2021-04-07T16:27:48Z,top,pm2.5,6.15,uq_m3
2021-04-07T16:27:48Z,top,pm10,19.75,uq_m3
2021-04-07T16:33:28Z,top,pm2.5,5.9,uq_m3
2021-04-07T16:33:28Z,top,pm10,19.6,uq_m3
2021-04-07T16:39:09Z,top,pm2.5,4.8,uq_m3
2021-04-07T16:39:09Z,top,pm10,20.25,uq_m3
2021-04-07T16:44:49Z,top,pm2.5,4.45,uq_m3
2021-04-07T16:44:49Z,top,pm10,20.15,uq_m3
2021-04-07T16:50:29Z,top,pm2.5,4.95,uq_m3
2021-04-07T16:50:29Z,top,pm10,17.7,uq_m3
2021-04-07T16:56:09Z,top,pm2.5,9.75,uq_m3
2021-04-07T16:56:09Z,top,pm10,21.3,uq_m3
2021-04-07T17:01:49Z,top,pm2.5,34.3,uq_m3
2021-04-07T17:01:49Z,top,pm10,60.75,uq_m3
2021-04-07T17:07:30Z,top,pm2.5,58.85,uq_m3
2021-04-07T17:07:30Z,top,pm10,90.5,uq_m3
2021-04-07T17:13:10Z,top,pm2.5,79.6,uq_m3
2021-04-07T17:13:10Z,top,pm10,115.3,uq_m3
2021-04-07T17:18:50Z,top,pm2.5,60.6,uq_m3
2021-04-07T17:18:50Z,top,pm10,85.6,uq_m3
2021-04-07T17:24:30Z,top,pm2.5,45.45,uq_m3
2021-04-07T17:24:30Z,top,pm10,75.45,uq_m3
2021-04-07T17:30:10Z,top,pm2.5,44,uq_m3
2021-04-07T17:30:10Z,top,pm10,74.1,uq_m3
2021-04-07T17:35:50Z,top,pm2.5,48.65,uq_m3
2021-04-07T17:35:50Z,top,pm10,81.8,uq_m3
2021-04-07T17:41:30Z,top,pm2.5,54.75,uq_m3
2021-04-07T17:41:30Z,top,pm10,87.35,uq_m3
2021-04-07T17:47:11Z,top,pm2.5,50.75,uq_m3
2021-04-07T17:47:11Z,top,pm10,77.75,uq_m3
2021-04-07T17:52:51Z,top,pm2.5,74.05,uq_m3
2021-04-07T17:52:51Z,top,pm10,103.05,uq_m3
2021-04-07T17:58:31Z,top,pm2.5,70.1,uq_m3
2021-04-07T17:58:31Z,top,pm10,101.85,uq_m3
2021-04-07T18:04:11Z,top,pm2.5,36.15,uq_m3
2021-04-07T18:04:11Z,top,pm10,60.05,uq_m3
2021-04-07T18:09:51Z,top,pm2.5,22.45,uq_m3
2021-04-07T18:09:51Z,top,pm10,42.8,uq_m3
2021-04-07T18:15:31Z,top,pm2.5,13.25,uq_m3
2021-04-07T18:15:31Z,top,pm10,33.6,uq_m3
2021-04-07T18:21:12Z,top,pm2.5,10.9,uq_m3
2021-04-07T18:21:12Z,top,pm10,34.6,uq_m3
2021-04-07T18:26:52Z,top,pm2.5,9.2,uq_m3
2021-04-07T18:26:52Z,top,pm10,29.6,uq_m3
2021-04-07T18:32:32Z,top,pm2.5,4.95,uq_m3
2021-04-07T18:32:32Z,top,pm10,15.7,uq_m3
2021-04-07T18:38:12Z,top,pm2.5,3.7,uq_m3
2021-04-07T18:38:12Z,top,pm10,32.9,uq_m3
2021-04-07T18:43:52Z,top,pm2.5,3.45,uq_m3
2021-04-07T18:43:52Z,top,pm10,31.6,uq_m3
2021-04-07T18:49:33Z,top,pm2.5,2.8,uq_m3
2021-04-07T18:49:33Z,top,pm10,21,uq_m3
2021-04-07T18:55:13Z,top,pm2.5,2.6,uq_m3
2021-04-07T18:55:13Z,top,pm10,18.85,uq_m3
2021-04-07T19:00:53Z,top,pm2.5,3.05,uq_m3
2021-04-07T19:00:53Z,top,pm10,12.25,uq_m3
2021-04-07T19:06:33Z,top,pm2.5,2.55,uq_m3
2021-04-07T19:06:33Z,top,pm10,10.45,uq_m3
2021-04-07T19:12:13Z,top,pm2.5,2.7,uq_m3
2021-04-07T19:12:13Z,top,pm10,12.4,uq_m3
2021-04-07T19:17:54Z,top,pm2.5,2.3,uq_m3
2021-04-07T19:17:54Z,top,pm10,11.55,uq_m3
2021-04-07T19:23:34Z,top,pm2.5,2.5,uq_m3
2021-04-07T19:23:34Z,top,pm10,16.85,uq_m3
2021-04-07T19:29:14Z,top,pm2.5,2.65,uq_m3
2021-04-07T19:29:14Z,top,pm10,21.2,uq_m3
2021-04-07T19:34:54Z,top,pm2.5,2.75,uq_m3
2021-04-07T19:34:54Z,top,pm10,18.3,uq_m3
2021-04-07T19:40:34Z,top,pm2.5,2.7,uq_m3
2021-04-07T19:40:34Z,top,pm10,14.75,uq_m3
2021-04-07T19:46:15Z,top,pm2.5,2.3,uq_m3
2021-04-07T19:46:15Z,top,pm10,14,uq_m3
2021-04-07T19:51:55Z,top,pm2.5,2.25,uq_m3
2021-04-07T19:51:55Z,top,pm10,11.8,uq_m3
2021-04-07T19:57:35Z,top,pm2.5,2.3,uq_m3
2021-04-07T19:57:35Z,top,pm10,16.9,uq_m3
